cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
814	1200	10010	9870	950	570	10010	5500	3100
792	1095	10010	10010	990	650	10010	5500	3000
902	1110	10010	10010	1010	630	10010	5500	3000
814	1275	10010	9670	930	590	10010	5400	2800
814	1080	10010	9850	990	630	10010	5300	3000
880	1200	10010	10010	1030	650	10010	5500	3100
480	600	2100	1350	2470	10010	9000	1900	10010
408	825	1800	1750	1910	10010	8100	3200	10010
420	10010	3900	1750	1170	10010	9400	2000	10010
384	1380	2500	1790	2070	10010	9200	3200	10010
456	600	2500	1690	1990	10010	9500	3600	10010
444	975	3600	1770	2770	10010	8900	4200	10010
444	1965	2900	1950	8270	10010	8900	6300	10010
420	10010	4200	1870	2110	10010	9500	3000	10010
408	900	2900	1790	1010	10010	8900	3900	10010
492	10010	2800	1730	1350	10010	8400	4600	10010
480	1275	2600	1630	2070	10010	9200	1800	10010
444	960	2500	1830	4670	10010	8900	2800	10010
468	675	3200	1790	2150	10010	8800	5000	10010
432	705	2200	1710	3790	10010	9000	5500	10010
384	1470	2700	1930	2390	10010	8900	3900	10010
528	1395	2900	1770	3510	10010	9700	1800	10010
444	900	3800	1690	2830	10010	8500	2600	10010
408	10010	4300	1630	2970	10010	9000	3700	10010
408	10010	3200	1770	3830	10010	9500	5000	10010
384	3675	3000	1710	1190	10010	8500	3600	10010
396	10010	3800	1610	2110	10010	8900	4900	10010
408	885	3200	1850	3990	10010	8900	5100	10010
396	4530	2400	1690	4910	10010	9600	3700	10010
348	1365	4000	1710	4670	10010	9200	2800	10010
420	945	4000	1530	1970	10010	8900	3300	10010
408	645	2900	1770	2270	10010	8400	4100	10010
312	1035	3800	1730	1290	10010	9400	1900	10010
360	1290	2200	1890	3610	10010	7800	4200	10010
420	1110	3100	1690	2150	10010	9700	4000	10010
408	10010	2500	1750	2650	10010	8800	3100	10010
459	870	10013	2310	910	10013	10000	1500	2800
459	1305	10013	2430	930	10013	10000	1700	3200
357	1095	10000	2270	970	10013	9400	1500	2600
272	1260	10013	2310	810	10013	9800	1700	2400
425	1530	10013	2510	910	10013	9100	1900	2400
340	1305	2300	1670	550	10013	10013	1500	2700
289	960	10013	2270	770	10013	9700	1500	2900
391	960	7100	2750	1030	10013	9900	1700	2800
408	1170	10013	2350	710	10013	9700	1500	2800
442	1560	10013	2490	670	10013	10013	1600	2900
357	1230	10013	2510	770	10013	10013	1500	3300
272	855	10013	2410	670	10013	10013	1500	2400
374	1035	4700	2190	910	10013	9100	1500	2500
425	1155	10013	2310	910	10013	9900	1500	2300
391	1185	6800	2390	630	10013	9700	1500	2600
374	1140	10013	2590	1250	10013	10013	1600	2300
323	1260	10013	2590	890	10013	10013	1800	3600
374	1425	10013	2450	950	10013	9600	1600	2900
425	1035	10013	2630	770	10013	10013	1700	2800
476	1065	10013	1970	710	10013	10013	1600	2500
391	1155	3500	2390	810	10013	10013	1800	2100
306	1440	10013	2370	810	10013	10013	1800	3500
476	930	3400	2330	750	10013	10013	1600	3100
340	1395	10013	2410	750	10013	10013	1500	2400
391	1005	8000	2270	1070	10013	10013	1700	1900
323	735	7700	2290	650	10013	10000	1600	2700
374	1200	7100	2410	910	10013	10013	1800	2800
357	1020	10013	2670	910	10013	10013	1700	3000
323	1215	10013	2550	1230	10013	10013	1500	3000
408	1020	10013	1890	730	10013	10013	1500	2700
437	1470	10013	2350	1750	10013	9700	1900	3000
608	1845	10013	2850	2230	10013	10000	1800	3900
570	1140	10013	2650	2110	10013	10013	2000	3900
589	1770	10013	2610	1830	10013	8900	1800	3400
532	1395	10013	2710	2110	10013	9300	1700	3700
475	1395	10013	2210	2590	10013	9600	1700	3200
418	1965	10013	2370	2090	10013	8900	1600	3400
